city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E,crit_read_mean,writing_mean,math_mean
"lincoln, california",2258,6249,12935,7080,3618,347200.0,1413,77569.0,1928,1488,13,512,493,473
"lincoln, california",2258,6249,12935,7080,3618,347200.0,1413,77569.0,1928,1488,13,491,465,486
"rialto, california",18809,16658,16558,4012,1626,208100.0,7200,60079.0,19431,1410,578,423,416,436
"rialto, california",18809,16658,16558,4012,1626,208100.0,7200,60079.0,19431,1410,578,425,414,439
"rialto, california",18809,16658,16558,4012,1626,208100.0,7200,60079.0,19431,1410,578,430,427,437
"carmichael, california",2973,9344,17891,8956,6094,289900.0,4002,84928.0,910,2803,233,475,442,439
"carmichael, california",2973,9344,17891,8956,6094,289900.0,4002,84928.0,910,2803,233,549,518,503
"hollister, california",5962,5670,6989,2378,762,320400.0,2117,85063.0,6954,490,5,474,468,475
"azusa, california",6049,7946,7786,3620,1698,325700.0,2069,73313.0,8433,1522,48,443,424,451
"baldwin park, california",17786,15077,9331,4191,1173,311600.0,4247,64138.0,19516,7032,30,459,456,486
"baldwin park, california",17786,15077,9331,4191,1173,311600.0,4247,64138.0,19516,7032,30,448,445,462
"cerritos, california",2973,5238,10322,11080,6155,605400.0,1547,99560.0,1286,10259,51,530,526,570
"cerritos, california",2973,5238,10322,11080,6155,605400.0,1547,99560.0,1286,10259,51,462,460,476
"cerritos, california",2973,5238,10322,11080,6155,605400.0,1547,99560.0,1286,10259,51,639,647,683
"inglewood, california",19641,14715,24126,8729,4282,335000.0,7903,68308.0,22485,1347,1433,460,458,494
"inglewood, california",19641,14715,24126,8729,4282,335000.0,7903,68308.0,22485,1347,1433,441,423,409
"inglewood, california",19641,14715,24126,8729,4282,335000.0,7903,68308.0,22485,1347,1433,390,374,376
"inglewood, california",19641,14715,24126,8729,4282,335000.0,7903,68308.0,22485,1347,1433,383,373,367
"inglewood, california",19641,14715,24126,8729,4282,335000.0,7903,68308.0,22485,1347,1433,409,418,421
"lennox, california",6380,3000,2288,628,159,331300.0,1145,59682.0,8348,221,119,440,440,445
"colusa, california",975,625,1411,460,134,188400.0,253,63590.0,1044,19,14,454,438,461
"chowchilla, california",4266,3995,4040,840,310,146600.0,320,45045.0,1934,376,51,455,436,443
"tulare, california",9845,10230,10635,3093,1038,156500.0,2570,62124.0,11110,1494,164,448,436,460
"tulare, california",9845,10230,10635,3093,1038,156500.0,2570,62124.0,11110,1494,164,449,436,460
"tulare, california",9845,10230,10635,3093,1038,156500.0,2570,62124.0,11110,1494,164,451,439,463
"denair, california",874,843,827,389,114,165400.0,245,70991.0,512,45,34,502,492,486
"oakdale, california",1862,3922,5490,1360,718,221600.0,1327,75888.0,1468,110,31,498,480,502
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,574,567,532
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,426,418,459
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,360,353,359
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,473,471,461
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,357,356,381
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,427,450,474
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,424,441,432
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,393,400,419
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,444,439,442
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,427,435,434
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,392,395,397
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,425,436,422
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,371,382,387
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,391,401,390
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,366,360,379
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,380,383,384
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,398,398,403
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,399,402,415
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,431,430,431
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,359,375,381
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,402,400,423
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,395,393,390
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,374,367,367
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,371,377,360
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,363,365,358
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,355,350,369
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,397,390,408
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,436,430,451
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,464,472,484
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,353,358,348
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,383,363,363
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,397,408,399
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,498,472,412
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,410,396,417
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153,393,385,406
