city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E
"fife, washington",662,1873,2123,877,399,223500.0,432,80886.0,371,608,13
"frederickson, washington",1012,3874,5877,1526,585,204400.0,760,73036.0,312,757,43
"anacortes, washington",657,2646,4275,2793,1706,311700.0,423,73779.0,98,114,7
"shoreline, washington",3689,6387,13430,11083,6047,336800.0,2265,85780.0,1352,3666,127
"kenmore, washington",865,2093,4385,4806,2712,403900.0,709,102428.0,554,1167,8
"kent, washington",11589,21028,27744,13613,5504,250900.0,5127,84687.0,6879,14205,787
"auburn, washington",5942,14386,16456,7696,3252,233400.0,2772,77920.0,3152,4269,151
"des moines, washington",3169,5512,7760,3434,1623,254800.0,1072,73814.0,1974,1883,158
"marysville, washington",4214,12048,17568,5331,2231,228300.0,2807,78249.0,1453,1794,18
"walla walla, washington",2563,5229,7991,3102,1680,170600.0,1040,53268.0,2743,401,10
"union gap, washington",1363,1131,898,141,47,92500.0,181,36273.0,890,39,14
"yakima, washington",15421,15245,17247,5653,4197,156700.0,4249,57010.0,15023,440,40
"olympia, washington",2282,6158,11342,8607,5839,242100.0,2198,80070.0,811,1884,17
"east stroudsburg, pennsylvania",740,1566,1384,796,472,160100.0,897,62844.0,127,305,48
"stroudsburg, pennsylvania",589,1071,1042,497,356,177900.0,405,70046.0,374,183,50
"penndel, pennsylvania",98,796,485,204,144,258700.0,218,71250.0,60,42,18
"reading, pennsylvania",17552,18042,10074,3237,1366,67600.0,7499,42385.0,18149,941,928
"wernersville, pennsylvania",193,775,491,263,154,172100.0,140,66420.0,38,41,5
"lancaster, pennsylvania",8557,13074,7402,4449,2603,109100.0,3190,53367.0,6225,1681,614
"east mckeesport, pennsylvania",105,701,508,147,77,70600.0,49,55078.0,4,6,7
"levittown, pennsylvania",2784,16656,10766,4248,1651,223700.0,1833,76145.0,748,584,9
"morrisville, pennsylvania",519,1893,1909,1228,544,199300.0,464,78246.0,111,334,20
"bothell, washington",1723,4924,8851,9159,4003,355100.0,1568,104572.0,1087,2234,46
"kirkland, washington",2256,7370,16945,22387,12517,436400.0,3041,108219.0,1116,4467,17
"burien, washington",5569,8702,11155,5522,2379,274500.0,1691,74420.0,3633,3347,329
"union hill-novelty hill, washington",245,1284,3470,5552,4509,584700.0,476,133450.0,61,889,10
"lacey, washington",1913,6550,11692,6278,3453,223600.0,1595,75346.0,1002,2551,98
"spanaway, washington",2295,6675,7377,1612,639,184400.0,1156,69322.0,617,942,23
"tacoma, washington",16999,38389,46262,23335,12635,203600.0,9926,72181.0,5519,10852,920
"kennewick, washington",6426,12847,17988,6688,3529,170800.0,2390,71106.0,5634,1451,45
"beaver falls, pennsylvania",811,2141,1304,472,242,58500.0,392,47311.0,3,54,80
"bath, pennsylvania",244,713,464,251,78,159900.0,166,63906.0,5,14,13
"arlington heights, pennsylvania",333,1289,996,1096,338,182300.0,223,75125.0,12,372,40
"conshohocken, pennsylvania",384,1262,897,2254,1203,275300.0,361,85588.0,60,68,18
"yardley, pennsylvania",28,269,316,614,487,317900.0,78,101324.0,3,24,4
"braddock hills, pennsylvania",133,545,383,235,93,79700.0,67,54531.0,21,12,8
"carnot-moon, pennsylvania",550,1766,2141,2181,1331,162700.0,469,74211.0,308,297,23
"wilkes-barre, pennsylvania",4326,10586,6954,2752,1193,77700.0,1907,46964.0,1240,576,594
"darby, pennsylvania",855,2781,1824,370,194,76700.0,624,44449.0,170,258,475
"bressler, pennsylvania",133,450,196,130,73,118500.0,56,60268.0,61,32,70
"mount vernon, washington",4084,5136,6695,3061,1404,205800.0,1347,62457.0,3745,840,31
