city,crit_read_mean,writing_mean,math_mean
"oakland, california",391,386,376
"alameda, california",538,516,539
"alameda, california",539,533,562
"alameda, california",572,530,612
"albany, california",585,575,607
"berkeley, california",569,563,568
"castro valley, california",534,531,558
"dublin, california",545,541,573
"emeryville, california",444,424,451
"fremont, california",576,576,610
"fremont, california",582,601,641
"fremont, california",484,473,492
"fremont, california",656,677,706
"fremont, california",540,531,564
"hayward, california",442,434,441
"hayward, california",444,446,467
"hayward, california",442,441,454
"hayward, california",433,430,432
"livermore, california",545,544,561
"livermore, california",551,545,555
"union city, california",495,488,518
"newark, california",486,476,492
"oakland, california",531,534,589
"oakland, california",378,394,379
"oakland, california",381,368,370
"oakland, california",412,432,428
"oakland, california",373,384,397
"oakland, california",369,349,337
"oakland, california",380,397,407
"oakland, california",366,363,351
"oakland, california",391,403,406
"oakland, california",430,433,463
"oakland, california",362,381,371
"oakland, california",380,360,359
"oakland, california",399,386,388
"oakland, california",474,488,551
"oakland, california",421,412,432
"oakland, california",310,328,329
"oakland, california",417,420,441
"oakland, california",568,543,513
"oakland, california",525,522,527
"oakland, california",386,407,423
"oakland, california",432,431,443
"piedmont, california",641,652,646
"pleasanton, california",607,608,639
"pleasanton, california",574,570,593
"san leandro, california",461,460,455
"san lorenzo, california",485,477,507
"san lorenzo, california",416,401,398
"san lorenzo, california",478,469,471
"san lorenzo, california",436,424,448
"sutter creek, california",535,519,529
"jackson, california",532,498,518
"biggs, california",453,422,464
"chico, california",532,495,500
"chico, california",527,507,548
"chico, california",569,552,535
"chico, california",521,504,538
"durham, california",507,490,505
"gridley, california",469,461,508
"oroville, california",485,460,482
"oroville, california",430,425,460
"paradise, california",523,493,530
"angels camp, california",522,521,529
"san andreas, california",495,478,503
"colusa, california",454,438,461
"arbuckle, california",474,471,491
"williams, california",419,418,416
"lafayette, california",584,587,602
"moraga, california",602,611,607
"walnut creek, california",575,553,577
"orinda, california",599,609,610
"antioch, california",451,431,432
"antioch, california",473,452,467
"antioch, california",499,488,470
"concord, california",508,501,505
"richmond, california",450,459,474
"crockett, california",508,475,499
"oakley, california",474,461,469
"brentwood, california",511,500,507
"brentwood, california",494,482,486
"martinez, california",512,496,527
"pleasant hill, california",539,527,555
"concord, california",489,475,491
"concord, california",433,430,427
"walnut creek, california",570,570,591
"concord, california",439,430,435
"pittsburg, california",451,439,437
"san ramon, california",566,559,596
"san ramon, california",612,621,653
"danville, california",585,582,603
"danville, california",563,560,589
"richmond, california",379,384,376
"el cerrito, california",441,438,462
"richmond, california",261,263,264
"hercules, california",430,434,434
"richmond, california",349,345,352
"richmond, california",373,391,413
"san pablo, california",491,508,510
"pinole, california",413,405,408
"richmond, california",360,355,358
"san pablo, california",397,388,368
"crescent city, california",475,456,493
"garden valley, california",516,491,541
"placerville, california",551,522,534
"el dorado hills, california",552,544,583
"shingle springs, california",541,524,570
"el dorado, california",512,502,530
"south lake tahoe, california",506,492,508
"caruthers, california",427,410,439
"fresno, california",440,434,433
"clovis, california",515,500,524
"clovis, california",461,449,456
"clovis, california",497,480,493
"fresno, california",525,521,548
"fresno, california",502,489,507
"coalinga, california",435,430,434
"firebaugh, california",406,409,383
"fowler, california",422,430,420
"fresno, california",471,453,459
"fresno, california",469,451,503
"fresno, california",453,445,459
"fresno, california",402,395,406
"fresno, california",404,400,418
"fresno, california",422,407,432
"fresno, california",377,372,386
"fresno, california",375,369,371
"fresno, california",399,393,404
"fresno, california",583,569,569
"tranquillity, california",391,395,386
"kerman, california",453,432,455
"orange cove, california",426,415,422
"reedley, california",439,431,440
"kingsburg, california",459,456,463
"mendota, california",394,396,403
"parlier, california",376,364,381
"riverdale, california",414,406,430
"sanger, california",479,481,515
"sanger, california",439,434,450
"selma, california",455,451,450
"tollhouse, california",538,518,521
"fresno, california",390,397,412
"hamilton city, california",465,461,465
"orland, california",438,440,457
"willows, california",444,438,435
"eureka, california",490,474,497
"ferndale, california",487,474,505
"eureka, california",586,518,529
"fortuna, california",470,447,470
"hoopa, california",441,407,443
"arcata, california",576,557,568
"mckinleyville, california",513,486,509
"miranda, california",526,498,518
"brawley, california",458,455,455
"calexico, california",450,436,454
"calipatria, california",477,460,464
"el centro, california",449,434,465
"el centro, california",490,481,496
"holtville, california",441,438,441
"imperial, california",481,476,489
"bishop, california",487,461,490
"long beach, california",342,334,326
"lone pine, california",520,525,516
"delano, california",425,431,457
"delano, california",434,420,451
"delano, california",432,419,442
"lebec, california",465,442,458
"delano, california",428,432,417
"arvin, california",428,422,423
"bakersfield, california",484,467,483
"bakersfield, california",516,495,521
"bakersfield, california",433,418,438
"bakersfield, california",421,402,444
"bakersfield, california",500,487,508
"bakersfield, california",436,423,430
"bakersfield, california",480,459,471
"bakersfield, california",475,470,485
"lake isabella, california",494,465,473
"bakersfield, california",501,497,518
"bakersfield, california",408,402,415
"bakersfield, california",454,432,437
"bakersfield, california",462,436,468
"shafter, california",427,437,453
"bakersfield, california",405,388,408
"bakersfield, california",519,508,535
"bakersfield, california",460,438,453
"mcfarland, california",394,382,398
"california city, california",438,421,459
"edwards, california",519,508,521
"ridgecrest, california",532,520,563
"rosamond, california",436,430,440
"taft, california",461,444,459
"tehachapi, california",519,490,514
"wasco, california",441,425,453
"corcoran, california",451,443,438
"hanford, california",470,450,462
"hanford, california",451,442,457
"hanford, california",465,459,465
"lemoore, california",471,462,476
"lemoore, california",520,496,492
"avenal, california",383,400,383
"kelseyville, california",453,444,443
"lower lake, california",464,446,437
"lakeport, california",500,472,507
"middletown, california",503,477,515
"susanville, california",499,478,500
"lakewood, california",439,435,472
"cerritos, california",530,526,570
"cerritos, california",462,460,476
"cerritos, california",639,647,683
"acton, california",534,518,498
"acton, california",560,516,510
"alhambra, california",477,469,527
"alhambra, california",523,523,595
"san gabriel, california",490,484,552
"lancaster, california",407,400,398
"lancaster, california",428,414,415
"palmdale, california",476,466,473
"lancaster, california",459,442,455
"littlerock, california",445,426,412
"palmdale, california",434,420,421
"quartz hill, california",502,488,497
"lancaster, california",516,497,511
"palmdale, california",444,439,432
"arcadia, california",582,584,634
"azusa, california",443,424,451
"covina, california",445,433,445
"baldwin park, california",459,456,486
"irwindale, california",446,438,421
"baldwin park, california",448,445,462
"la puente, california",433,435,438
"bellflower, california",462,441,475
"lakewood, california",494,484,506
"beverly hills, california",569,590,587
"la verne, california",488,478,493
"san dimas, california",508,489,504
"burbank, california",530,520,544
"burbank, california",517,506,512
"hawthorne, california",412,419,406
"lawndale, california",410,406,405
"lawndale, california",399,394,409
"covina, california",465,451,486
"claremont, california",529,526,537
"compton, california",361,363,355
"compton, california",418,412,404
"compton, california",417,404,405
"covina, california",416,409,429
"covina, california",315,313,305
"covina, california",405,401,414
"west covina, california",443,441,457
"culver city, california",515,500,512
"downey, california",463,450,467
"downey, california",464,451,471
"duarte, california",475,449,474
"duarte, california",408,422,397
"el monte, california",464,459,485
"el monte, california",427,429,455
"el monte, california",424,417,432
"rosemead, california",474,472,509
"south el monte, california",406,407,428
"pico rivera, california",437,422,457
"el segundo, california",523,512,516
"la crescenta, california",526,535,566
"la crescenta, california",560,569,595
"glendale, california",494,488,524
"glendale, california",508,506,538
"glendora, california",532,522,554
"redlands, california",507,481,484
"hacienda heights, california",521,511,554
"la puente, california",429,418,437
"hacienda heights, california",457,453,458
"city of industry, california",420,417,447
"hawthorne, california",488,494,512
"inglewood, california",460,458,494
"inglewood, california",441,423,409
"inglewood, california",390,374,376
"inglewood, california",383,373,367
"la canada, california",601,597,632
"agoura, california",552,554,568
"calabasas, california",562,582,576
"lawndale, california",427,460,443
"inglewood, california",409,418,421
"lennox, california",440,440,445
"santa catalina, california",435,452,461
"long beach, california",382,381,387
"carson, california",576,590,605
"long beach, california",392,394,404
"lakewood, california",450,447,454
"long beach, california",468,466,467
"long beach, california",488,484,496
"long beach, california",489,486,465
"long beach, california",464,465,464
"pomona, california",516,508,518
"los angeles, california",574,567,532
"los angeles, california",426,418,459
"carson, california",423,420,417
"carson, california",434,428,450
"los angeles, california",360,353,359
"los angeles, california",473,471,461
"los angeles, california",357,356,381
"huntington park, california",397,414,420
"los angeles, california",427,450,474
"los angeles, california",424,441,432
"los angeles, california",393,400,419
"los angeles, california",444,439,442
"los angeles, california",427,435,434
"los angeles, california",392,395,397
"los angeles, california",425,436,422
"los angeles, california",371,382,387
"los angeles, california",391,401,390
"los angeles, california",366,360,379
"los angeles, california",380,383,384
"los angeles, california",398,398,403
"los angeles, california",399,402,415
"los angeles, california",431,430,431
"los angeles, california",359,375,381
"los angeles, california",402,400,423
"los angeles, california",395,393,390
"los angeles, california",374,367,367
"venice, california",418,417,423
"los angeles, california",371,377,360
"los angeles, california",363,365,358
"arleta, california",395,392,410
"huntington park, california",394,386,398
"los angeles, california",355,350,369
"bell, california",407,417,428
"los angeles, california",397,390,408
"los angeles, california",436,430,451
"lake balboa, california",436,429,434
"los angeles, california",464,472,484
"los angeles, california",353,358,348
"canoga park, california",415,410,418
"carson, california",420,411,416
"los angeles, california",383,363,363
"los angeles, california",397,408,399
"san fernando, california",407,386,391
"san fernando, california",412,398,371
"san fernando, california",417,424,421
"san fernando, california",385,372,379
"van nuys, california",496,476,464
"chatsworth, california",450,447,448
"los angeles, california",498,472,412
"los angeles, california",410,396,417
"los angeles, california",393,385,406
"los angeles, california",372,358,381
"los angeles, california",376,377,384
"los angeles, california",383,380,377
"lake balboa, california",462,453,449
