city,crit_read_mean,writing_mean,math_mean
"worcester, massachusetts",482,485,472
"abington, massachusetts",520,498,516
"acton, massachusetts",617,608,641
"cheshire, massachusetts",494,478,489
"marlborough, massachusetts",606,604,658
"agawam, massachusetts",496,475,514
"amesbury, massachusetts",531,518,534
"amherst, massachusetts",594,564,601
"andover, massachusetts",566,562,581
"arlington, massachusetts",581,576,592
"ashburnham, massachusetts",511,488,514
"ashland, massachusetts",549,530,576
"marlborough, massachusetts",439,413,438
"athol, massachusetts",466,456,473
"attleboro, massachusetts",494,490,504
"auburn, massachusetts",488,477,505
"avon, massachusetts",467,451,481
"ayer, massachusetts",504,481,511
"hyannis, massachusetts",505,489,513
"bedford, massachusetts",566,550,572
"belchertown, massachusetts",544,531,544
"bellingham, massachusetts",515,480,518
"belmont, massachusetts",587,584,610
"adams, massachusetts",514,490,502
"great barrington, massachusetts",547,519,522
"boylston, massachusetts",526,510,528
"beverly, massachusetts",517,511,523
"billerica, massachusetts",521,516,540
"upton, massachusetts",485,465,502
"blackstone, massachusetts",519,488,514
"canton, massachusetts",445,406,446
"hyde park, massachusetts",377,395,407
"boston, massachusetts",437,427,435
"hyde park, massachusetts",396,390,431
"dorchester, massachusetts",313,305,347
"boston, massachusetts",629,614,647
"dorchester, massachusetts",526,527,557
"brighton, massachusetts",357,352,392
"charlestown, massachusetts",346,349,433
"dorchester, massachusetts",337,340,374
"dorchester, massachusetts",338,316,352
"east boston, massachusetts",384,389,415
"south boston, massachusetts",345,359,405
"roxbury, massachusetts",392,393,437
"roxbury, massachusetts",357,357,403
"dorchester, massachusetts",355,347,380
"brighton, massachusetts",411,364,389
"roxbury, massachusetts",352,346,358
"boston, massachusetts",362,368,402
"hyde park, massachusetts",397,404,428
"roxbury, massachusetts",482,482,527
"boston, massachusetts",409,409,459
"boston, massachusetts",382,368,390
"dorchester, massachusetts",365,370,402
"jamaica plain, massachusetts",333,333,362
"dorchester, massachusetts",491,508,536
"roxbury, massachusetts",410,381,409
"brighton, massachusetts",367,336,357
"hyde park, massachusetts",426,424,489
"bourne, massachusetts",499,490,508
"braintree, massachusetts",518,510,541
"bridgewater, massachusetts",510,504,531
"dighton, massachusetts",512,479,511
"taunton, massachusetts",461,435,469
"brockton, massachusetts",440,428,453
"brookline, massachusetts",599,590,617
"burlington, massachusetts",521,517,540
"cambridge, massachusetts",521,514,526
"canton, massachusetts",520,507,537
"harwich, massachusetts",471,428,448
"carver, massachusetts",514,496,517
"dalton, massachusetts",499,489,509
"north chelmsford, massachusetts",545,519,556
"chelsea, massachusetts",448,424,449
"chicopee, massachusetts",471,446,479
"chicopee, massachusetts",478,464,470
"roxbury, massachusetts",395,400,460
"clinton, massachusetts",497,478,505
"dorchester, massachusetts",374,342,406
"cohasset, massachusetts",564,560,562
"cambridge, massachusetts",427,442,475
"concord, massachusetts",616,605,635
"danvers, massachusetts",515,506,523
"dartmouth, massachusetts",516,508,530
"dedham, massachusetts",490,477,520
"south yarmouth, massachusetts",494,479,478
"north dighton, massachusetts",547,532,547
"douglas, massachusetts",520,510,521
"dover, massachusetts",613,608,620
"dracut, massachusetts",503,487,508
"dudley, massachusetts",506,494,525
"duxbury, massachusetts",545,544,565
"east bridgewater, massachusetts",518,494,500
"east longmeadow, massachusetts",526,509,540
"easthampton, massachusetts",493,486,500
"north easton, massachusetts",543,533,550
"boston, massachusetts",386,395,397
"hathorne, massachusetts",488,461,471
"everett, massachusetts",438,416,439
"fairhaven, massachusetts",512,498,517
"fall river, massachusetts",495,471,477
