city,crit_read_mean,writing_mean,math_mean
"west chester, pennsylvania",577,544,526
"clarks summit, pennsylvania",534,526,547
"abington, pennsylvania",521,509,541
"pittsburgh, pennsylvania",321,327,325
"exton, pennsylvania",429,406,412
"king of prussia, pennsylvania",473,426,430
"uniontown, pennsylvania",478,448,470
"aliquippa, pennsylvania",390,362,409
"cheswick, pennsylvania",492,463,501
"foxburg, pennsylvania",482,447,502
"allentown, pennsylvania",404,381,422
"allentown, pennsylvania",436,413,423
"altoona, pennsylvania",491,472,498
"ambridge, pennsylvania",477,445,492
"annville, pennsylvania",517,488,533
"reading, pennsylvania",474,450,444
"spring church, pennsylvania",461,448,472
"kittanning, pennsylvania",496,464,499
"athens, pennsylvania",503,485,501
"avella, pennsylvania",497,451,445
"west grove, pennsylvania",540,519,525
"west grove, pennsylvania",531,513,541
"pittsburgh, pennsylvania",535,513,547
"wingate, pennsylvania",474,452,485
"pittsburgh, pennsylvania",503,478,504
"bangor, pennsylvania",495,463,491
"beaver, pennsylvania",527,510,548
"bedford, pennsylvania",518,479,522
"belle vernon, pennsylvania",498,470,512
"bellefonte, pennsylvania",499,470,516
"bellwood, pennsylvania",521,500,531
"bensalem, pennsylvania",483,466,507
"benton, pennsylvania",495,459,496
"bentleyville, pennsylvania",495,466,513
"berlin, pennsylvania",460,436,490
"york springs, pennsylvania",494,474,509
"berwick, pennsylvania",488,450,512
"bethel park, pennsylvania",534,512,533
"bethlehem, pennsylvania",501,483,498
"bethlehem, pennsylvania",507,481,505
"fredericktown, pennsylvania",491,450,439
"beaver falls, pennsylvania",488,460,480
"newville, pennsylvania",502,468,489
"beaver falls, pennsylvania",515,491,507
"nanty glo, pennsylvania",464,429,479
"blairsville, pennsylvania",482,448,497
"blairsville, pennsylvania",499,472,548
"bloomsburg, pennsylvania",501,468,501
"orwigsburg, pennsylvania",503,479,506
"new milford, pennsylvania",498,471,491
"boyertown, pennsylvania",513,499,529
"philadelphia, pennsylvania",414,386,410
"bradford, pennsylvania",498,473,505
"topton, pennsylvania",499,478,498
"pittsburgh, pennsylvania",499,472,472
"bristol, pennsylvania",436,420,436
"levittown, pennsylvania",450,424,461
"brockway, pennsylvania",476,446,499
"brookville, pennsylvania",501,482,486
"brownsville, pennsylvania",440,428,443
"fairless hills, pennsylvania",472,434,469
"burgettstown, pennsylvania",496,465,482
"lower burrell, pennsylvania",517,501,507
"butler, pennsylvania",513,475,532
"coal center, pennsylvania",446,445,467
"patton, pennsylvania",477,447,484
"emporium, pennsylvania",481,470,466
"camp hill, pennsylvania",548,547,551
"canonsburg, pennsylvania",517,498,525
"canton, pennsylvania",480,448,485
"harrisburg, pennsylvania",531,515,488
"jim thorpe, pennsylvania",448,408,426
"carbondale, pennsylvania",469,446,473
"carlisle, pennsylvania",525,493,519
"carnegie, pennsylvania",505,486,505
"carmichaels, pennsylvania",495,465,478
"catasauqua, pennsylvania",507,488,510
"warminster, pennsylvania",496,473,497
"levittown, pennsylvania",423,426,420
"doylestown, pennsylvania",563,573,589
"doylestown, pennsylvania",535,545,561
"doylestown, pennsylvania",551,548,569
"ebensburg, pennsylvania",500,477,493
"bloomsburg, pennsylvania",518,487,539
"harrisburg, pennsylvania",468,450,471
"harrisburg, pennsylvania",526,512,545
"mcconnellsburg, pennsylvania",477,454,507
