city,crit_read_mean,writing_mean,math_mean
"anacortes, washington",533,503,539
"arlington, washington",516,485,515
"auburn, washington",441,421,459
"auburn, washington",441,419,449
"olympia, washington",602,531,542
"island, washington",589,563,598
"seattle, washington",524,508,528
"none, washington",523,486,544
"bellevue, washington",569,548,551
"bellingham, washington",566,543,544
"spanaway, washington",467,433,473
"blaine, washington",519,489,508
"lake, washington",503,469,490
"bothell, washington",547,527,567
"bremerton, washington",497,492,514
"brewster, washington",404,382,408
"bridgeport, washington",399,403,445
"camas, washington",547,523,543
"olympia, washington",563,521,557
"leavenworth, washington",492,480,504
"everett, washington",492,480,504
"seattle, washington",618,572,550
"castle, washington",493,496,504
"duvall, washington",559,522,545
"silverdale, washington",563,527,569
"valley, washington",550,517,555
"centralia, washington",510,485,474
"chelan, washington",462,447,478
"cheney, washington",514,487,529
"pasco, washington",452,438,454
"seattle, washington",413,409,428
"lakewood, washington",413,398,441
"colfax, washington",478,463,490
"burbank, washington",487,474,492
"salmon, washington",487,474,492
"burbank, washington",518,492,493
"salmon, washington",518,492,493
"kirkland, washington",485,438,430
"concrete, washington",573,552,529
"connell, washington",431,421,443
"coupeville, washington",522,498,515
"darrington, washington",493,428,522
"dayton, washington",481,428,474
"none, washington",434,419,441
"park, washington",511,484,499
"island, washington",599,529,565
"yakima, washington",468,444,464
"valley, washington",468,444,464
"yakima, washington",495,465,489
"valley, washington",495,465,489
"sammamish, washington",559,542,563
"eatonville, washington",520,492,506
"edmonds, washington",528,491,523
"ellensburg, washington",538,505,529
"elma, washington",518,500,535
"puyallup, washington",508,476,496
"everett, washington",465,452,453
"vancouver, washington",487,457,483
"seattle, washington",487,457,483
"none, washington",408,392,413
"ferndale, washington",523,502,536
"tacoma, washington",505,472,507
"forks, washington",488,457,503
"vancouver, washington",454,434,437
"seattle, washington",412,400,449
"tacoma, washington",491,455,483
"rockford, washington",516,486,517
"harbor, washington",549,510,541
"seattle, washington",528,515,530
"snohomish, washington",546,519,561
"goldendale, washington",527,487,538
"grandview, washington",381,391,383
"granger, washington",358,358,376
"none, washington",539,510,530
"richland, washington",552,519,544
"harrington, washington",480,458,497
"camas, washington",516,448,449
"vancouver, washington",470,440,462
"vancouver, washington",481,461,481
"summitview, washington",410,403,419
"burien, washington",405,410,424
"none, washington",538,514,522
"hoquiam, washington",502,463,517
"vancouver, washington",491,449,470
"ilwaco, washington",522,496,527
"seattle, washington",550,530,552
"forks, washington",511,496,474
"kirkland, washington",633,659,668
"bellevue, washington",624,624,651
"none, washington",407,383,384
"issaquah, washington",585,575,607
"mukilteo, washington",555,540,583
"kennewick, washington",520,490,537
"kelso, washington",497,458,476
"kennewick, washington",458,432,494
"kent, washington",404,395,415
"kent, washington",459,434,474
"none, washington",504,445,477
"kingston, washington",524,481,517
"kittitas, washington",471,446,472
"center, washington",533,510,509
"none, washington",500,478,524
"lakewood, washington",508,479,500
"none, washington",506,479,507
"arlington, washington",490,452,508
"vancouver, washington",516,495,504
"spangle, washington",564,549,576
"spangle, washington",545,492,530
"none, washington",390,366,402
"none, washington",390,366,402
"tacoma, washington",390,366,402
"seattle, washington",390,366,402
"ritzville, washington",477,469,485
"lyle, washington",433,365,438
"lynden, washington",504,471,524
"bothell, washington",499,481,527
"manson, washington",463,418,474
"everett, washington",462,447,466
"longview, washington",516,482,517
"springdale, washington",461,439,476
"marysville, washington",502,479,509
"spokane, washington",529,501,530
"lake, washington",525,495,528
"island, washington",609,596,635
"bellingham, washington",511,473,518
"none, washington",464,454,504
"monroe, washington",502,482,501
"none, washington",451,440,462
"snoqualmie, washington",544,528,552
"tacoma, washington",387,363,393
"vernon, washington",493,465,502
"vancouver, washington",534,513,539
"none, washington",529,490,520
"naches, washington",508,488,513
"seattle, washington",497,484,504
"newport, washington",581,573,619
"newport, washington",512,488,520
"everson, washington",501,487,533
"spokane, washington",458,441,457
"poulsbo, washington",542,505,535
"lacey, washington",532,506,533
"northport, washington",454,400,462
"seattle, washington",532,500,446
"harbor, washington",533,499,521
"oakesdale, washington",532,496,524
"odessa, washington",440,435,443
"okanogan, washington",461,451,467
"olympia, washington",579,553,579
"bremerton, washington",497,473,510
"spokane, washington",433,378,425
"onalaska, washington",467,426,455
"none, washington",590,532,574
"orting, washington",511,485,494
"othello, washington",433,420,446
"pateros, washington",428,409,416
"harbor, washington",540,505,539
"park, washington",522,490,524
"townsend, washington",583,553,550
"none, washington",513,483,522
"prescott, washington",363,371,376
"seattle, washington",361,364,351
"pullman, washington",571,540,583
"quincy, washington",445,413,466
"seattle, washington",366,351,374
"tukwila, washington",577,556,590
"richland, washington",525,506,539
"ridgefield, washington",526,481,538
"lacey, washington",478,440,476
"kennewick, washington",357,346,407
"chattaroy, washington",503,461,476
"rochester, washington",498,468,523
"seattle, washington",586,568,586
"royal, washington",431,406,446
"seattle, washington",262,263,324
"bellingham, washington",601,559,595
"selah, washington",487,479,505
"everett, washington",388,374,382
"spokane, washington",460,441,459
"shelton, washington",486,475,490
"shoreline, washington",549,524,549
"shoreline, washington",532,509,532
"monroe, washington",616,572,555
"sammamish, washington",591,573,612
"vancouver, washington",513,489,504
"bend, washington",414,429,432
"orchard, washington",518,494,507
"langley, washington",532,492,530
"kennewick, washington",487,469,495
"spanaway, washington",481,456,480
"spokane, washington",510,486,478
"sprague, washington",428,394,462
"bellingham, washington",520,501,522
"tacoma, washington",487,462,482
"yakima, washington",355,345,358
"stanwood, washington",526,493,519
"stevenson, washington",511,484,513
"sumner, washington",513,489,492
"tacoma, washington",526,487,457
"valley, washington",540,515,540
"none, washington",506,468,452
"tenino, washington",514,486,491
"auburn, washington",440,432,440
"lacey, washington",524,490,508
"none, washington",434,423,438
"toledo, washington",498,478,525
"tonasket, washington",483,468,504
"toppenish, washington",378,356,405
"lake, washington",539,512,502
"tumwater, washington",530,507,525
"camas, washington",512,486,528
"valley, washington",515,483,523
