SAU ID,Dst ID,Sch ID,High School,Town Served
81,267,21050,Alvirne High School,Hudson
25,41,28555,Bedford High School,Bedford
80,486,22145,Belmont High School,Belmont
80,486,22145,Belmont High School,Canterbury
3,51,20050,Berlin Senior High School,Berlin
3,51,20050,Berlin Senior High School,Milan
67,57,27375,Bow High School,Bow
67,57,27375,Bow High School,Dunbarton
54,461,22675,Bud Carlson Academy,Rochester
54,461,22675,Bud Carlson Academy,Wakefield
27,315,27715,Campbell High School,Litchfield
7,105,20185,Colebrook Academy and Elementary School (H),Colebrook
7,105,20185,Colebrook Academy and Elementary School (H),Columbia
7,105,20185,Colebrook Academy and Elementary School (H),Errol
7,105,20185,Colebrook Academy and Elementary School (H),Stewartstown
47,274,22265,Conant High School,Jaffrey
47,274,22265,Conant High School,Rindge
8,111,20285,Concord High School,Concord
8,111,20285,Concord High School,Deerfield
1,112,22290,Conval Regional High School,Antrim
1,112,22290,Conval Regional High School,Bennington
1,112,22290,Conval Regional High School,Dublin
1,112,22290,Conval Regional High School,Francestown
1,112,22290,Conval Regional High School,Greenfield
1,112,22290,Conval Regional High School,Hancock
1,112,22290,Conval Regional High School,Peterborough
1,112,22290,Conval Regional High School,Temple
11,141,20455,Dover Senior High School,Barrington
11,141,20455,Dover Senior High School,Dover
11,141,20455,Dover Senior High School,Nottingham
14,165,20515,Epping High School ,Epping
16,172,20600,Exeter High School,Brentwood
16,172,20600,Exeter High School,East Kingston
16,172,20600,Exeter High School,Exeter
16,172,20600,Exeter High School,Kensington
16,172,20600,Exeter High School,Stratham
60,174,22990,Fall Mountain Regional High School,Acworth
60,174,22990,Fall Mountain Regional High School,Alstead
60,174,22990,Fall Mountain Regional High School,Charlestown
60,174,22990,Fall Mountain Regional High School,Walpole
61,175,22050,Farmington Senior High School,Farmington
18,185,20660,Franklin High School,Franklin
73,191,21240,Gilford High School,Gilford
73,191,21240,Gilford High School,Gilmanton
19,199,20700,Goffstown High School,Goffstown
19,199,20700,Goffstown High School,New Boston
20,203,20750,Gorham High School,Gorham
20,203,20750,Gorham High School,Milan
20,203,20750,Gorham High School,Randolph
20,203,20750,Gorham High School,Shelburne
58,407,22900,Groveton High School,Northumberland
58,407,22900,Groveton High School,Stark
58,407,22900,Groveton High School,Stratford
70,142,20820,Hanover High School,Hanover
70,142,20820,Hanover High School,Lyme
70,142,20820,Hanover High School,Norwich VT.
70,142,20820,Hanover High School,State Of Vermont
34,251,20950,Hillsboro-Deering High School,Deering
34,251,20950,Hillsboro-Deering High School,Hillsborough
34,251,20950,Hillsboro-Deering High School,Washington
92,255,21675,Hinsdale High School,Hinsdale
41,260,21810,Hollis-Brookline High School,Brookline
41,260,21810,Hollis-Brookline High School,Hollis
66,263,20970,Hopkinton High School,Hopkinton
2,269,20035,Inter-Lakes High School,Center Harbor
2,269,20035,Inter-Lakes High School,Meredith
2,269,20035,Inter-Lakes High School,Sandwich
24,275,26380,John Stark Regional High School,Henniker
24,275,26380,John Stark Regional High School,Weare
65,276,22015,Kearsarge Regional High School,Bradford
65,276,22015,Kearsarge Regional High School,New London
65,276,22015,Kearsarge Regional High School,Newbury
65,276,22015,Kearsarge Regional High School,Springfield
65,276,22015,Kearsarge Regional High School,Sutton
65,276,22015,Kearsarge Regional High School,Warner
65,276,22015,Kearsarge Regional High School,Wilmot
29,279,21195,Keene High School,Chesterfield
29,279,21195,Keene High School,Keene
29,279,21195,Keene High School,Marlborough
29,279,21195,Keene High School,Winchester
9,113,20345,Kennett High School,Bartlett
9,113,20345,Kennett High School,Conway
9,113,20345,Kennett High School,Madison
9,113,20345,Kennett High School,Tamworth
49,208,22425,Kingswood Regional High School,Effingham
49,208,22425,Kingswood Regional High School,Middleton
49,208,22425,Kingswood Regional High School,New Durham
49,208,22425,Kingswood Regional High School,Ossipee
49,208,22425,Kingswood Regional High School,Tuftonboro
49,208,22425,Kingswood Regional High School,Wolfeboro
30,285,21255,Laconia High School,Laconia
88,295,21360,Lebanon High School,Grantham
88,295,21360,Lebanon High School,Lebanon
88,295,21360,Lebanon High School,Plainfield
68,305,23110,Lin-Wood Public School (High),Lincoln
68,305,23110,Lin-Wood Public School (High),Woodstock
35,306,23100,Lisbon Regional School (High),Bath
35,306,23100,Lisbon Regional School (High),Landaff
35,306,23100,Lisbon Regional School (High),Lisbon
35,306,23100,Lisbon Regional School (High),Lyman
84,317,21445,Littleton High School,Littleton
12,319,20490,Londonderry Senior High School,Hooksett
12,319,20490,Londonderry Senior High School,Londonderry
37,335,21510,Manchester Central High School,Manchester
37,335,21505,Manchester Memorial High School,Manchester
37,335,29085,Manchester School of Technology (High School),Manchester
37,335,21555,Manchester West High School,Manchester
87,342,23050,Mascenic Regional High School,Greenville
87,342,23050,Mascenic Regional High School,New Ipswich
62,343,21305,Mascoma Valley Regional High School,Canaan
62,343,21305,Mascoma Valley Regional High School,Enfield
62,343,21305,Mascoma Valley Regional High School,Grafton
26,351,21040,Merrimack High School,Merrimack
46,352,22195,Merrimack Valley High School,Andover
46,352,22195,Merrimack Valley High School,Boscawen
46,352,22195,Merrimack Valley High School,Loudon
46,352,22195,Merrimack Valley High School,Penacook
46,352,22195,Merrimack Valley High School,Salisbury
