Record Type,CDS Code,School,Street City
School,01100170130419,Alameda County Community,Hayward
School,01100170130401,Alameda County Juvenile Hall/Court,San Leandro
School,01100176106751,Alameda County Special Education,Hayward
School,01100170130625,Alternatives in Action,Oakland
School,01100170137448,Aurum Preparatory Academy,Oakland
School,01100170123968,Community School for Creative Education,Oakland
School,01100170136101,Connecting Waters Charter - East Bay,Union City
School,01100176001788,Cox Academy,Oakland
School,01100170112607,Envision Academy for Arts & Technology,Oakland
School,01100170129403,Epic Charter,Oakland
School,01100170138867,Hayward Collegiate Charter,Hayward
School,01100176002000,Lazear Charter Academy,Oakland
School,01100170131581,Oakland Unity Middle,Oakland
School,01100170136226,Opportunity Academy,Hayward
School,01100170125567,Urban Montessori Charter,Oakland
School,01100170124172,Yu Ming Charter,Oakland
School,01611196154637,Advance College Academy,Alameda
School,01611190130120,Alameda Adult,Alameda
School,01611190130609,Alameda Community Learning Center,Alameda
School,01611190130229,Alameda High,Alameda
School,01611190106401,Alameda Science and Technology Institute,Alameda
School,01611190138214,Alameda Unified Special Education,Alameda
School,01611196100374,Amelia Earhart Elementary,Alameda
School,01611196110779,Bay Farm,Alameda
School,01611196204697,Coastline Christian Schools,Alameda
School,01611196147607,Da Vinci Center for Gifted Children,Alameda
School,01611196090013,Edison Elementary,Alameda
School,01611190132142,Encinal Junior/Senior High,Alameda
School,01611196090021,Frank Otis Elementary,Alameda
School,01611196090039,Franklin Elementary,Alameda
School,01611190134304,Island High (Continuation),Alameda
School,01611196090054,Lincoln Middle,Alameda
School,01611196090047,Love Elementary,Alameda
School,01611190139220,Maya Lin,Alameda
School,01611190119222,Nea Community Learning Center,Alameda
School,01611196922470,Rising Star Montessori School,Alameda
School,01611190111765,Ruby Bridges Elementary,Alameda
School,01611196933154,Saint Joseph Notre Dame High School,Alameda
School,01611196965891,St. Joseph Elementary,Alameda
School,01611196973077,St. Philip Neri Elementary,Alameda
School,01611190122085,The Academy of Alameda,Alameda
School,01611190131805,The Academy of Alameda Elementary,Alameda
School,01611196141683,The Child Unique Montessori School/Montessori Elementary School of Alameda,Alameda
School,01611196979140,The Phillips Academy,Alameda
School,01611196090112,Will C. Wood Middle,Alameda
School,01611196090120,William G. Paden Elementary,Alameda
School,01611270130450,Albany High,Albany
School,01611276090161,Albany Middle,Albany
School,01611276090146,Cornell Elementary,Albany
School,01611270130294,MacGregor High (Continuation),Albany
School,01611276095376,Marin Elementary,Albany
School,01611276116222,Ocean View Elementary,Albany
School,01611276161301,Semillas del Sol,Albany
School,01611276138044,Tilden Preparatory School,Albany
School,01611436135743,American International Montessori School,Berkeley
School,01611430117002,Bayhill High,Berkeley
School,01611430131078,Berkeley Adult,Berkeley
School,01611436097729,Berkeley Arts Magnet at Whittier,Berkeley
School,01611430131177,Berkeley High,Berkeley
School,01611436142236,Berkeley Rose Waldorf School,Berkeley
School,01611430122804,Berkeley Special Education Preschool,Berkeley
School,01611430134924,Berkeley Technology Academy,Berkeley
School,01611436972723,Berkwood Hedge School,Berkeley
School,01611436989784,Black Pine Circle,Berkeley
School,01611436130207,Center for Early Intervention on Deafness (CEID),Berkeley
School,01611436090195,Cragmont Elementary,Berkeley
School,01611436141709,East Bay School for Boys,Berkeley
School,01611436900757,Ecole Bilingue De Berkeley,BERKELEY
School,01611436090211,Emerson Elementary,Berkeley
School,01611436138291,Fusion Academy Berkeley,Berkeley
School,01611436105316,John Muir Elementary,Berkeley
School,01611436090294,Longfellow Arts and Technology Middle,Berkeley
School,01611436090286,Malcolm X Elementary,Berkeley
School,01611436056857,Martin Luther King Middle,Berkeley
School,01611436090302,Oxford Elementary at West Campus,Berkeley
School,01611436090187,Rosa Parks Environmental Science,Berkeley
School,01611436090252,Ruth Acty Elementary,Berkeley
School,01611436933162,Saint Mary's College High School,Berkeley
School,01611436973085,School of the Madeleine,Berkeley
School,01611436139620,Shu Ren International School,Berkeley
School,01611436090278,Sylvia Mendez Elementary,Berkeley
School,01611436972533,The Academy,Berkeley
School,01611436967442,The Berkeley School,Berkeley
School,01611436928766,The Crowden School,Berkeley
School,01611436090310,Thousand Oaks Elementary,Berkeley
School,01611437045552,Via Center,Berkeley
School,01611436090328,Washington Elementary,Berkeley
School,01611436056865,Willard Middle,Berkeley
School,01316090131755,California School for the Blind,Fremont
School,01316170131763,California School for the Deaf-Fremont,Fremont
School,01611500118216,Alma Preschool,Castro Valley
School,01611506133441,"Anchor Education, Inc. dba OneSchool Global - San Francisco",Castro Valley
School,01611506097653,Canyon Middle,Castro Valley
School,01611500130039,Castro Valley Adult and Career Education,Castro Valley
School,01611506090351,Castro Valley Elementary,Castro Valley
School,01611500132225,Castro Valley High,Castro Valley
School,01611500133876,Castro Valley Virtual Academy,Castro Valley
School,01611506090369,Chabot Elementary,Castro Valley
School,01611506090385,Creekside Middle,Castro Valley
School,01611506090393,Independent Elementary,Castro Valley
School,01611506113005,Jensen Ranch Elementary,Castro Valley
School,01611506090401,Marshall Elementary,Castro Valley
School,01611506970651,Our Lady of Grace School,Castro Valley
School,01611506090419,Palomares Elementary,Castro Valley
School,01611506090435,Proctor Elementary,Castro Valley
School,01611506913131,Redwood Christian Elementary,Castro Valley
School,01611500135533,Redwood Continuation High,Castro Valley
School,01611500130047,Roy A. Johnson High,Castro Valley
School,01611506090468,Stanton Elementary,Castro Valley
