School Name,School Code,Tests Taken,Reading,Writing,Math
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,      70,482,485,472
Abington - Abington High,00010505,      98,520,498,516
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,       4,,,
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     421,617,608,641
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,      44,494,478,489
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     176,606,604,658
Agawam - Agawam High,00050505,     234,496,475,514
Amesbury - Amesbury High,00070505,     115,531,518,534
Amesbury - Amesbury Innovation High School,00070515,       2,,,
Amherst-Pelham - Amherst Regional High,06050505,     174,594,564,601
Andover - Andover High,00090505,     393,566,562,581
Arlington - Arlington High,00100505,     271,581,576,592
Ashburnham-Westminster - Oakmont Regional High School,06100505,     127,511,488,514
Ashland - Ashland High,00140505,     160,549,530,576
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     124,439,413,438
Athol-Royalston - Athol High,06150505,      49,466,456,473
Attleboro - Attleboro Community Academy,00160515,       3,,,
Attleboro - Attleboro High,00160505,     299,494,490,504
Auburn - Auburn Senior High,00170505,     134,488,477,505
Avon - Avon Middle High School,00180510,      33,467,451,481
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,      65,504,481,511
Barnstable - Barnstable High,00200505,     261,505,489,513
Bedford - Bedford High,00230505,     171,566,550,572
Belchertown - Belchertown High,00240505,     114,544,531,544
Bellingham - Bellingham High School,00250505,     106,515,480,518
Belmont - Belmont High,00260505,     286,587,584,610
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,      25,514,490,502
Berkshire Hills - Monument Mt Regional High,06180505,      96,547,519,522
Berlin-Boylston - Tahanto Regional High,06200505,      61,526,510,528
Beverly - Beverly High,00300505,     241,517,511,523
Billerica - Billerica Memorial High School,00310505,     239,521,516,540
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,     225,485,465,502
Blackstone-Millville - Blackstone Millville RHS,06220505,      81,519,488,514
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,     103,445,406,446
Boston - Another Course To College,00350541,      47,377,395,407
Boston - Boston Adult Academy,00350548,       2,,,
Boston - Boston Arts Academy,00350546,      99,437,427,435
Boston - Boston Collaborative High School,00350755,       2,,,
Boston - Boston Community Leadership Academy,00350558,     105,396,390,431
Boston - Boston International High School,00350507,      68,313,305,347
Boston - Boston Latin,00350560,     407,629,614,647
Boston - Boston Latin Academy,00350545,     259,526,527,557
