Org Name,School Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,4450105,Charter School,Principal,Heidi Paluk,10 New Bond Street,,Worcester,MA,1606,508-854-8400,508-854-8484,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Abington: Abington Early Education Program,10001,Public School,Principal,Ann Robinson,201 Gliniewicz Way,,Abington,MA,2351,781-982-2195,781-982-0053,PK
Abington: Abington High,10505,Public School,Principal,Jonathan Bourne,201 Gliniewicz Way,,Abington,MA,2351,781-982-2160,781-982-0061,"09,10,11,12"
Abington: Abington Middle School,10405,Public School,Principal,Matthew MacCurtain,201 Gliniewicz Way,,Abington,MA,2351,781-982-2170,781-982-2173,"05,06,07,08"
Abington: Beaver Brook Elementary,10020,Public School,Principal,Christopher Basta,1 Ralph Hamlin Lane,,Abington,MA,2351,781-982-2185,781-982-2187,"K,01,02"
Abington: Woodsdale Elementary School,10015,Public School,Principal,Jonathan Hawes,120 Chestnut Street,,Abington,MA,2351,781-982-2180,781-982-2184,"03,04"
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,4120530,Charter School,Principal,Caleb Balderston,1 Westinghouse Plaza,Building B,Hyde Park,MA,2136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12"
Acton-Boxborough: Acton-Boxborough Regional High,6000505,Public School,Principal,Joan Dean,36 Charter Rd,,Acton,MA,1720,978-264-4700,978-264-3345,"09,10,11,12"
Acton-Boxborough: Blanchard Memorial School,6000005,Public School,Principal,Dana Labb,493 Massachusetts Avenue,,Boxborough,MA,1719,978-263-4569,--,"K,01,02,03,04,05,06"
Acton-Boxborough: C.T. Douglas Elementary School,6000020,Public School,Principal,Christopher Whitbeck,21 Elm Street,,Acton,MA,1720,978-266-2560,--,"K,01,02,03,04,05,06"
Acton-Boxborough: Carol Huebner Early Childhood Program,6000001,Public School,Principal,Joe Gibowicz,15 Charter Road,,Acton,MA,1720,978-264-4700,978-254-3340,PK
