AUN,LEA,School Nbr.,School Name,N Tested,Reading Average,Math Average,Writing Average,Composite Average
124150002,21st Century Cyber CS,7691,21st Century Cyber CS,51,577,526,544,1646
119350303,Abington Heights SD,5091,Abington Heights HS,209,534,547,526,1608
123460302,Abington SD,3241,Abington SHS,439,521,541,509,1571
102020003,Academy CS,7846,Academy CS,11,321,325,327,974
125230001,Achievement House CS,7824,Achievement House CS,15,429,412,406,1247
126514368,ACT Academy Cyber CS,8217,ACT Academy Cyber CS,7,*,*,*,*
126510020,Agora Cyber CS,7858,Agora Cyber CS,179,473,430,426,1329
101260303,Albert Gallatin Area SD,6001,Albert Gallatin Area SHS,114,478,470,448,1397
127040503,Aliquippa SD,8086,Aliquippa JSHS,39,390,409,362,1161
103020603,Allegheny Valley SD,29,Springdale JSHS,50,492,501,463,1456
106160303,Allegheny-Clarion Valley SD,4664,Allegheny-Clarion Valley HS,30,482,502,447,1431
121390302,Allentown City SD,2795,Louis E Dieruff HS,164,404,422,381,1207
121390302,Allentown City SD,2794,William Allen HS,204,436,423,413,1272
108070502,Altoona Area SD,913,Altoona Area HS,307,491,498,472,1461
127040703,Ambridge Area SD,6555,Ambridge Area HS,114,477,492,445,1414
113380303,Annville-Cleona SD,2725,Annville-Cleona HS,72,517,533,488,1538
114060503,Antietam SD,820,Antietam MS/HS,34,474,444,450,1369
128030603,Apollo-Ridge SD,2320,Apollo-Ridge HS,58,461,472,448,1381
128030852,Armstrong SD,7640,West Shamokin JSHS,45,496,499,464,1459
181519176,ASPIRA Bilingual Cyber Charter School,8148,ASPIRA Bilingual Cyber Charter School,1,*,*,*,*
117080503,Athens Area SD,958,Athens Area HS,88,503,501,485,1489
109530304,Austin Area SD,6222,Austin Area JSHS,2,*,*,*,*
101630504,Avella Area SD,4165,Avella Area JSHS,26,497,445,451,1393
124150003,Avon Grove CS,7721,Avon Grove CS,40,540,525,519,1584
124150503,Avon Grove SD,1367,Avon Grove HS,358,531,541,513,1585
103020753,Avonworth SD,5199,Avonworth HS,77,535,547,513,1595
110141003,Bald Eagle Area SD,1335,Bald Eagle Area MS/SHS,73,474,485,452,1412
103021102,Baldwin-Whitehall SD,50,Baldwin SHS,236,503,504,478,1485
120480803,Bangor Area SD,3434,Bangor Area HS,135,495,491,463,1449
127041203,Beaver Area SD,640,Beaver Area SHS,128,527,548,510,1585
108051003,Bedford Area SD,726,Bedford SHS,98,518,522,479,1519
107650603,Belle Vernon Area SD,4930,Belle Vernon Area HS,130,498,512,470,1481
110141103,Bellefonte Area SD,1343,Bellefonte Area HS,130,499,516,470,1485
108071003,Bellwood-Antis SD,917,Bellwood-Antis HS,57,521,531,500,1552
122091002,Bensalem Township SD,5116,Bensalem Twp HS,317,483,507,466,1455
