AUN,LEAInstName,PreK_Half,LEACategory,LEAIUNumber,LEAIU,LEACountyName,LEAStatus,LEAStatusEffectiveDate,LEAWebAddress,LEAPublicEmailAddress,LEAMailingAddressLine1,LEAMailingAddressLine2,LEAMailingCity,LEAMailingState,LEAMailingZipCode,LEAMailingZipCodeExtn,LEALocationAddressLine1,LEALocationAddressLine2,LEALocationCity,LEALocationState,LEALocationZipCode,LEALocationZipCodeExtn,LEAPhoneNumber,LEAPhoneNumberExtn,LEAAdminTitle,LEAAdminSalutation,LEAAdminFirstName,LEAAdminMiddleInitial,LEAAdminLastName,LEAAdminSuffix,LEAAdminPhone,LEAAdminPhoneExtn,SchoolInstCtgyDesc,SchoolAUNNum,SchoolBranchNum,SchoolName,GradeYear,GradeList,GradeCtgy,K4_Half,K4_Full,K5_Half,K5_Full,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Elementary_Ungraded,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Secondary_Ungraded,SchoolCountyName,SchoolStatus,SchoolStatusEffDate,SchoolWebAddress,SchoolPublicEmailAddress,SchoolPhone,SchoolPhoneExtn,SchoolMailingAddressLine1,SchoolMailingAddressLine2,SchoolMailingCity,SchoolMailingState,SchoolMailingZipCode,SchoolMailingZipCodeExtn,SchoolLocationAddressLine1,SchoolLocationAddressLine2,SchoolLocationCity,SchoolLocationState,SchoolLocationZipCode,SchoolLocationZipCodeExtn,SchoolAdminTitle,SchoolAdminSalutation,SchoolAdminFirstName,SchoolAdminMiddleInitial,SchoolAdminLastName,SchoolAdminSuffix,CyberSchoolInd
124150002,21st Century Cyber CS,0,Charter School                          ,24,Chester County IU 24,Chester,Open,06/21/2001,http://www.21stcenturycyber.org,,1245 Wrights Lane,,West Chester,PA,19380,    ,1245 Wrights Lane,,West Chester,PA,19380,    ,(484)875-5400,,Chief Executive Officer,Dr,Matthew,,Flannery,,(484)875-5458,,Regular School,124150002,7691,21st Century Cyber CS,2021-2022,"6,7-12",ELEMENTARY/SECONDARY,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,Chester,Open,07/09/2001,http://www.21cccs.org,,(484)875-5400,,1245 Wrights Lane,,West Chester,PA,19380,    ,1245 Wrights Lane,,West Chester,PA,19380,    ,Chief Executive Officer,Dr,Matthew,,Flannery,,1
103020407,A W Beattie Career Center,0,Career and Technical Center,3,Allegheny IU 3,Allegheny,Open,07/06/1990,http://www.beattietech.com,,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,(412)847-1900,,Executive Director,Mr,Eric,C,Heasley,,(412)847-1900,,Occupational CTC,103020407,5273,A W Beattie Career Center,2021-2022,9-12,SECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Allegheny,Open,09/06/1990,http://www.beattietech.com,,(412)847-1900,,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,Executive Director,Mr,Eric,C,Heasley,,
119350303,Abington Heights SD,0,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,,,,,,,,,Regular School,119350303,2402,Waverly Sch,2021-2022,"K5H,1-4",ELEMENTARY,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Lackawanna,Open,07/16/1992,,,(570)585-6300,,103 Waverly Rd,,Waverly,PA,18471,    ,103 Waverly Rd,,Waverly,PA,18471,    ,Principal,Mrs,Bridget,,Frounfelker,,
119350303,Abington Heights SD,0,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,,,,,,,,,Regular School,119350303,2407,Newton-Ransom Sch,2021-2022,"K5H,1-4",ELEMENTARY,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Lackawanna,Open,07/17/1995,,,(570)585-8300,,1549 Newton Ransom Boulevard,,Clarks Summit,PA,18411,9802,1549 Newton Ransom Boulevard,,Clarks Summit,PA,18411,9802,Principal,Dr,Amy,,Thomas,,
119350303,Abington Heights SD,0,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,,,,,,,,,Regular School,119350303,5091,Abington Heights HS,2021-2022,9-12,SECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Lackawanna,Open,09/01/1998,,,(570)585-5300,,222 Noble Road,,Clarks Summit,PA,18411,    ,222 Noble Road,,Clarks Summit,PA,18411,    ,Principal,Mr,Andrew,,Snyder,,
119350303,Abington Heights SD,0,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,,,,,,,,,Regular School,119350303,6398,South Abington Sch,2021-2022,"K5H,1-4",ELEMENTARY,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Lackawanna,Open,10/08/1998,,,(570)585-2100,,640 Northern Boulevard,P.O. Box 163,Chinchilla,PA,18410,    ,640 Northern Boulevard,P.O. Box 163,Chinchilla,PA,18410,    ,Principal,Dr,Amy,,Thomas,,
119350303,Abington Heights SD,0,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,,,,,,,,,Regular School,119350303,6839,Abington Heights MS,2021-2022,"5-6,7-8",ELEMENTARY/SECONDARY,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,Lackawanna,Open,08/22/1990,,,(570)585-4300,,1555 Newton Ransom Blvd,,Clarks Summit,PA,18411,,1555 Newton Ransom Blvd,,Clarks Summit,PA,18411,,Principal,Mrs,Colleen,,Leonard,,
119350303,Abington Heights SD,0,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,,,,,,,,,Regular School,119350303,7570,Clarks Summit El Sch,2021-2022,"K5H,1-4",ELEMENTARY,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Lackawanna,Open,05/14/1999,,,(570)585-7300,,401 W Grove St,,Clarks Summit,PA,18411,2025,401 W Grove St,,Clarks Summit,PA,18411,2025,Principal,Mrs,Bridget,,Frounfelker,,
123460302,Abington SD,0,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Jeffrey,S,Fecher,,(215)884-4700,2500,Regular School,123460302,3226,Rydal East Sch,2021-2022,K5F-6,ELEMENTARY,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Montgomery,Open,07/05/2000,,,(215)884-1308,,1160 Huntingdon Pike,,Huntingdon Valley,PA,19006,8325,1160 Huntingdon Pike,,Huntingdon Valley,PA,19006,8325,Principal,Dr,Lindsay,M,Morgan,,
123460302,Abington SD,0,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Jeffrey,S,Fecher,,(215)884-4700,2500,Regular School,123460302,3229,Highland Sch,2021-2022,K5F-6,ELEMENTARY,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Montgomery,Open,07/15/1999,,,(215)884-1048,,1301 Edge Hill Rd,,Abington,PA,19001,,1301 Edge Hill Rd,,Abington,PA,19001,,Principal,Dr,James,S,Etlen,III,
123460302,Abington SD,0,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Jeffrey,S,Fecher,,(215)884-4700,2500,Regular School,123460302,3232,Overlook Sch,2021-2022,K5F-6,ELEMENTARY,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Montgomery,Open,07/23/1993,,,(215)657-0857,,1750 Edge Hill Rd,,Abington,PA,19001,,1750 Edge Hill Rd,,Abington,PA,19001,,Principal,Mr,Daniel,,Oldham,,
123460302,Abington SD,0,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Jeffrey,S,Fecher,,(215)884-4700,2500,Regular School,123460302,3234,Roslyn Sch,2021-2022,K5F-6,ELEMENTARY,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Montgomery,Open,07/05/2000,,,(215)884-3368,,2565 Susquehanna Street,,Roslyn,PA,19001,3108,2565 Susquehanna Street,,Roslyn,PA,19001,3108,Principal,Dr,Kevin,,Osborne,,
123460302,Abington SD,0,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Jeffrey,S,Fecher,,(215)884-4700,2500,Regular School,123460302,3241,Abington SHS,2021-2022,10-12,SECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Montgomery,Open,07/15/1999,,,(215)884-4700,,900 Highland Avenue,,Abington,PA,19001,4590,900 Highland Avenue,,Abington,PA,19001,4590,Principal,Mr,Angelo,G,Berrios,III,
123460302,Abington SD,0,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Jeffrey,S,Fecher,,(215)884-4700,2500,Regular School,123460302,3242,Abington JHS,2021-2022,7-9,SECONDARY,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Montgomery,Open,07/05/2000,,,(215)884-4700,,2056 Susquehanna St,,Abington,PA,19001,4406,2056 Susquehanna St,,Abington,PA,19001,4406,Principal,Mr,Daniel,S,File,,
123460302,Abington SD,0,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Jeffrey,S,Fecher,,(215)884-4700,2500,Regular School,123460302,4910,Willow Hill Sch,2021-2022,K5F-6,ELEMENTARY,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Montgomery,Open,06/26/1997,,,(215)657-3800,,1700 Coolidge Avenue,,Willow Grove,PA,19090,4439,1700 Coolidge Avenue,,Willow Grove,PA,19090,4439,Principal,Dr,Damon,R,Jordan,,
123460302,Abington SD,0,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Jeffrey,S,Fecher,,(215)884-4700,2500,Regular School,123460302,5075,McKinley Sch,2021-2022,K5F-6,ELEMENTARY,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Montgomery,Open,07/20/1995,,,(215)663-0430,,370 Cedar Rd,,Elkins Park,PA,19027,1655,370 Cedar Rd,,Elkins Park,PA,19027,1655,Principal,Dr,Marie,S,Kim,,
123460302,Abington SD,0,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Jeffrey,S,Fecher,,(215)884-4700,2500,Regular School,123460302,7707,Copper Beech Sch,2021-2022,K5F-6,ELEMENTARY,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Montgomery,Open,01/28/2002,,,(215)881-2000,,825 N Easton Road,,Glenside,PA,19038,5236,825 N Easton Road,,Glenside,PA,19038,5236,Principal,Mrs,Fatima,,Rogers,,
125230001,Achievement House CS,0,Charter School                          ,24,Chester County IU 24,Chester,Open,08/16/2004,http://www.achievementcharter.com/,,102 Pickering Way,,Exton,PA,19341,,102 Pickering Way,,Exton,PA,19341,,(484)615-6200,,Chief Executive Officer,Mr,Donald,,Asplen,,(484)615-6200,222,Regular School,125230001,7824,Achievement House CS,2021-2022,7-12,SECONDARY,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,Chester,Open,08/17/2004,http://www.achievementcharter.com,,(484)615-6200,,102 Pickering Way,,Exton,PA,19341,,102 Pickering Way,,Exton,PA,19341,,Chief Administrative Officer,Mr,Donald,,Asplen,,1
126510015,Ad Prima CS,0,Charter School                          ,26,Philadelphia IU 26,Philadelphia,Open,08/25/2004,,,1920 N 63rd Street,,Philadelphia,PA,19151,,1922 N. 63rd Street,,Philadelphia,PA,19151,,(215)883-0638,,Chief Executive Officer,Ms,Niya,L,Blackwell,,(215)883-0638,,Regular School,126510015,7825,Ad Prima CS,2021-2022,"K5F-6,7-8",ELEMENTARY/SECONDARY,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,Philadelphia,Open,05/12/2005,,,(215)883-0638,304,Administrative Office,1920 N. 63rd Street,Philadelphia,PA,19151,,1922 N. 63rd Street,,Philadelphia,PA,19151,,Chief Executive Officer,Ms,Niya,L,Blackwell,,0
112015106,Adams County Technical Institute,0,Career and Technical Center,12,Lincoln IU 12,Adams,Open,07/01/2020,http://www.acti-pa.org,,1126 Old Harrisburg RD,,Gettysburg,PA,17325,,1126 Old Harrisburg RD,,Gettysburg,PA,17325,,(717)334-6254,4216,Director Vocational Education,Mr,Shawn,,Eckenrode,,(717)334-6254,4216,Occupational CTC,112015106,8471,Adams County Technical Institute,2021-2022,11-12,SECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Adams,Open,07/01/2020,http://www.acti-pa.org,,(717)334-6254,4216,1126 Old Harrisburg RD,,Gettysburg,PA,17325,,1126 Old Harrisburg RD,,Gettysburg,PA,17325,,Director Vocational Education,Mr,Shawn,,Eckenrode,,
108110307,Admiral Peary AVTS,0,Career and Technical Center,8,Appalachia IU 8,Cambria,Open,07/06/1990,https://www.ap.tec.pa.us,,948 Ben Franklin Highway,,Ebensburg,PA,15931,7618,948 Ben Franklin Highway,,Ebensburg,PA,15931,7618,(814)472-6490,,Director Vocational Education,Mr,Andrew,,Paronish,,(814)472-6490,306,Occupational CTC,108110307,6661,Admiral Peary AVTS,2021-2022,9-12,SECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Cambria,Open,11/29/1994,https://www.ap.tec.pa.us,,(814)472-6490,,948 Ben Franklin Highway,,Ebensburg,PA,15931,7618,948 Ben Franklin Highway,,Ebensburg,PA,15931,7618,Executive Director,Mr,Andrew,,Paronish,,
126510020,Agora Cyber CS,0,Charter School                          ,23,Montgomery County IU 23,Montgomery,Open,09/12/2005,http://www.agora.org,,1018 West 8th Avenue,,King of Prussia,PA,19406,,1018 West 8th Avenue,,King of Prussia,PA,19406,,(610)230-0775,,Chief Executive Officer,Dr,Richard,,Jensen,,(267)332-3020,,Regular School,126510020,7858,Agora Cyber CS,2021-2022,"K5F-6,7-12",ELEMENTARY/SECONDARY,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,Montgomery,Open,09/14/2005,http://www.agora.org,,(610)230-0775,,1018 West 8th Avenue,,King of Prussia,PA,19406,,1018 West 8th Avenue,,King of Prussia,PA,19406,,Chief Executive Officer,Dr,Richard,,Jensen,,1
101260303,Albert Gallatin Area SD,0,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.agasd.org,,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8115,Superintendent,Mr,Christopher,,Pegg,,(724)564-7190,8119,Regular School,101260303,2129,George J Plava El Sch,2021-2022,K5F-5,ELEMENTARY,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Fayette,Open,07/12/2000,http://www.agasd.org/,,(724)737-5424,7300,120 Puritan Rd,,Mc Clellandtown,PA,15458,9720,120 Puritan Rd,,Mc Clellandtown,PA,15458,9720,Principal,Dr,Eric,,Witt,,
101260303,Albert Gallatin Area SD,0,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.agasd.org,,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8115,Superintendent,Mr,Christopher,,Pegg,,(724)564-7190,8119,Regular School,101260303,4921,Smithfield El Sch,2021-2022,K5F-5,ELEMENTARY,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Fayette,Open,07/15/1999,http://www.agasd.org/,,(724)569-9570,7600,23 Liberty St,,Smithfield,PA,15479,9705,23 Liberty St,,Smithfield,PA,15479,9705,Principal,Mrs,Renee,,Rosie,,
101260303,Albert Gallatin Area SD,0,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.agasd.org,,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8115,Superintendent,Mr,Christopher,,Pegg,,(724)564-7190,8119,Regular School,101260303,4922,Friendship Hill El Sch,2021-2022,K5F-5,ELEMENTARY,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Fayette,Open,07/15/1999,http://www.agasd.org/,,(724)725-9515,7400,218 New Geneva Rd,,Point Marion,PA,15474,9722,218 New Geneva Rd,,Point Marion,PA,15474,9722,Principal,Mr,Randy,,Wilson,,
101260303,Albert Gallatin Area SD,0,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.agasd.org,,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8115,Superintendent,Mr,Christopher,,Pegg,,(724)564-7190,8119,Regular School,101260303,6001,Albert Gallatin Area SHS,2021-2022,9-12,SECONDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Fayette,Open,07/15/1999,http://www.agasd.org/,,(724)564-2024,5301,1119 Township Dr,,Uniontown,PA,15401,9167,1119 Township Dr,,Uniontown,PA,15401,9167,Assistant/Vice Principal,Ms,Marissa,,Dugan,,
101260303,Albert Gallatin Area SD,0,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.agasd.org,,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8115,Superintendent,Mr,Christopher,,Pegg,,(724)564-7190,8119,Regular School,101260303,6002,Masontown El Sch,2021-2022,K5F-5,ELEMENTARY,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Fayette,Open,07/15/1999,http://www.agasd.org/,,(724)583-1091,7500,201 Spring St,,Masontown,PA,15461,1896,201 Spring St,,Masontown,PA,15461,1896,Principal,Mr,Duane,,Frund,,
101260303,Albert Gallatin Area SD,0,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.agasd.org,,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8115,Superintendent,Mr,Christopher,,Pegg,,(724)564-7190,8119,Regular School,101260303,7607,Albert Gallatin North MS,2021-2022,"6,7-8",ELEMENTARY/SECONDARY,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Fayette,Open,07/20/1999,http://www.agasd.org/,,(724)737-5423,6209,113 College Avenue,,McClellandtown,PA,15458,,113 College Avenue,,McClellandtown,PA,15458,,Principal,Mr,Michael,,Dunham,,
101260303,Albert Gallatin Area SD,0,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.agasd.org,,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8115,Superintendent,Mr,Christopher,,Pegg,,(724)564-7190,8119,Regular School,101260303,7608,Albert Gallatin South MS,2021-2022,"6,7-8",ELEMENTARY/SECONDARY,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Fayette,Open,07/20/1999,http://www.agasd.org/,,(724)725-5241,6000,224 New Geneva Road,,Point Marion,PA,15474,9721,224 New Geneva Road,,Point Marion,PA,15474,9721,Principal,Mr,Zachary,,Dillow,,
101260303,Albert Gallatin Area SD,0,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.agasd.org,,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8115,Superintendent,Mr,Christopher,,Pegg,,(724)564-7190,8119,Regular School,101260303,8364,A L Wilson El Sch,2021-2022,K5F-5,ELEMENTARY,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Fayette,Open,07/01/2016,http://www.agasd.org/,,(724)564-7434,7100,100 Al Wilson Drive,,Fairchance,PA,15436,1308,100 Al Wilson Drive,,Fairchance,PA,15436,1308,Principal,Mrs,Krista,,Baker,,
127040503,Aliquippa SD,0,School District,27,Beaver Valley IU 27,Beaver,Open,06/08/1999,http://www.quipsd.org,,800 21st Street,,Aliquippa,PA,15001,2763,800 21st Street,,Aliquippa,PA,15001,2763,(724)857-7500,1105,Superintendent,Dr,Phillip,K,Woods,,(724)857-7500,1100,Regular School,127040503,8085,Aliquippa El Sch,2021-2022,K5F-6,ELEMENTARY,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Beaver,Open,07/01/2009,http://www.quispd.org,,(724)857-7500,,800 Twenty-First Street,,Aliquippa,PA,15001,    ,800 Twenty-First Street,,Aliquippa,PA,15001,    ,Principal,Ms,A'Frica,,Sheppard,,
