High School,ai_code,test_takers,crit_read_mean,math_mean,writing_mean
A C Davis Senior High School,481601,229,436,439,419
Aberdeen High School,480000,48,477,486,439
Acad of Citizenship and Empwrmet: Tyee Ed Complex,481159,78,351,395,345
Aces High School,480384,2,-,-,-
Adna Middle-High School,480015,21,488,493,462
AG West Black Hills High School,480826,94,529,526,500
Almira-Coulee-Hartline High School,480020,15,482,489,467
Anacortes High School,480025,127,533,539,503
Arlington High School,480035,163,516,515,485
Arts and Academics Academy,481139,50,355,352,349
Asotin High School,480040,20,477,505,460
Auburn High School,480055,305,425,427,405
Auburn Mountainview High School,480044,332,441,459,421
Auburn Riverside High School,480046,379,441,449,419
Avanti High School,480827,19,602,542,531
Bainbridge High School,481580,249,589,598,563
Ballard High School,481045,350,524,528,508
Bates Technical High School,481394,1,-,-,-
Battle Ground High School,480060,94,523,544,486
Bellevue Big Picture School,480114,10,569,551,548
Bellevue Senior High School,480070,263,557,601,552
Bellingham High School,480094,124,566,544,543
Bethel High School,481225,142,467,473,433
Bickleton High School,480090,5,526,554,520
Blaine High School,480095,57,519,508,489
Bonney Lake High School,480111,140,503,490,469
Bothell High School,480100,230,547,567,527
Bremerton High School,480103,80,497,514,492
Brewster High School,480110,43,404,408,382
Bridgeport High School,480115,27,399,445,403
Burlington-Edison High School,480130,95,479,511,459
Cam High School,480056,36,608,578,575
Camas High School,480140,253,547,543,523
Capital High School,480829,182,563,557,521
Career Academy At Truman High School,480394,36,408,383,373
Cascade High School,480605,72,492,504,480
Cascade Parent Partnership Program,481103,5,618,550,572
Cascade Senior High School,480383,376,460,461,446
Cashmere High School,480155,41,483,520,473
Castle Rock High School,480160,7,493,504,496
Cedar Heights Junior High School,489011,0,-,-,-
Cedarcrest High School,480145,136,559,545,522
Center School,481060,55,518,452,485
Central Kitsap Alternative High School,481194,0,-,-,-
Central Kitsap High School,481195,186,563,569,527
Central Valley High School,481483,235,550,555,517
Centralia High School,480170,45,510,474,485
Challenger High School,481224,2,-,-,-
Charles A Lindbergh High School,480985,273,447,449,430
Charles F Adams High School,480205,78,500,498,463
Chelan High School,480180,65,462,478,447
Cheney High School,480185,121,514,529,487
Chiawana High School,480879,172,452,454,438
Chief Sealth International High School,481161,256,413,428,409
Chimacum High School,480195,30,514,517,493
Choice High School,480722,4,-,-,-
Clallam Bay High School,480200,1,-,-,-
Cle Elum-Roslyn High School,480210,25,478,499,471
Cleveland High School,481055,193,407,440,396
Clover Park High School,481370,93,413,441,398
Colfax High School,480215,32,478,490,463
College Place High School,480221,0,-,-,-
Colton High School,480225,7,464,463,447
Columbia High School,480128,19,487,492,474
Columbia High School,480480,3,-,-,-
Columbia High School,481540,45,518,493,492
Columbia River High School,481460,161,550,550,530
Columbia Virtual Academy,481452,3,-,-,-
Colville High School,480235,51,516,509,496
Community School,481240,28,485,430,438
Compass High School,480441,5,356,324,338
Concrete High School,480240,9,573,529,552
Connell High School,480245,53,431,443,421
Coupeville High School,480260,33,522,515,498
Crescent School,480505,1,-,-,-
Creston High School,480270,4,-,-,-
Crossroads High School,480452,1,-,-,-
Curlew High School,480275,8,535,570,529
Curtis Senior High School,481382,263,554,559,529
Cusick High School,480280,9,514,477,448
Darrington High School,480285,6,493,522,428
Davenport Jr-Sr High School,480290,21,503,507,489
Dayton High School,480295,14,481,474,428
Decatur High School,480395,348,434,441,419
Deer Park High School,480300,44,511,499,484
Delta High School,481008,54,538,549,494
Discovery/Explorer High School,480903,1,-,-,-
Dishman Hills High School,481236,1,-,-,-
Dwight D Eisenhower High School,481603,146,446,452,430
E B Walker High School,480936,1,-,-,-
Eagle Harbor High School,480096,20,599,565,529
Eagle High School,481433,0,-,-,-
Eagle Peak School,481290,3,-,-,-
East Valley High School,480760,69,468,464,444
East Valley High School,481238,69,495,489,465
Eastlake High School,480548,260,559,563,542
Eastmont High School,480332,205,467,478,447
Easton High School,480315,1,-,-,-
Eatonville High School,480335,66,520,506,492
Edmonds Heights K-12,480657,10,528,523,491
Edmonds-Woodway High School,480344,179,538,544,524
Ellensburg High School,480350,82,538,529,505
Elma High School,480355,21,518,535,500
Emerald Ridge High School,481222,241,508,496,476
Emerson High School,480542,1,-,-,-
Emerson K12,480982,3,-,-,-
Enrichment Cooperative,481294,1,-,-,-
Entiat High School,480370,13,489,508,439
Enumclaw High School,480375,155,514,501,478
Ephrata Senior High School,480380,81,465,481,448
Everett High School,480385,284,465,453,452
Evergreen High School,481465,125,487,483,457
Federal Way High School,480397,402,408,413,392
Federal Way Public Academy,480406,2,-,-,-
Ferndale High School,480400,134,523,536,502
Fife High School,481375,108,505,507,472
Firwood Secondary School,480583,0,-,-,-
Five Mile Prairie School,480686,7,549,466,481
Forks High School,480405,13,488,503,457
Fort Vancouver High School,481470,109,454,437,434
Foster High School,481075,195,379,394,374
Franklin High School,481080,317,412,449,400
Franklin Pierce High School,481380,119,491,483,455
Freeman High School,480408,43,516,517,486
Friday Harbor High School,480410,44,549,541,510
Futures School,480553,0,-,-,-
Garfield High School,481115,349,528,530,515
Garfield-Palouse High School,480870,10,514,523,455
Gates High School,481381,1,-,-,-
Gig Harbor High School,480421,306,537,546,525
Glacier Peak High School,481211,246,546,561,519
Glenwood High School,480425,3,-,-,-
Global Connections High School,481037,120,334,369,343
Goldendale High School,480430,18,527,538,487
Governor J R Rogers High School,480938,269,512,513,482
Graham-Kapowsin High School,480442,152,509,498,478
Grandview High School,480440,103,381,383,391
Granger High School,480445,32,358,376,358
Granite Falls High School,480450,35,539,530,510
Griffin Bay Learning Center,480419,1,-,-,-
Hanford High School,481002,224,552,544,519
Harbor High School,480001,3,-,-,-
Harrington High School,480460,6,480,497,458
Harrison Preparatory School,480589,17,565,517,508
Hayes Freedom High School,480146,9,516,449,448
Hazen High School,480987,305,472,488,446
Health Sciences and Human Services High School,481149,74,378,403,394
Henderson B High School,480422,1,-,-,-
Henrietta Lacks Health and Bioscience High School,481494,69,470,462,440
Henry Foss High School,481383,213,409,414,392
Henry M Jackson High School,480711,484,503,507,493
Heritage High School,481492,145,481,481,461
Highland High School,480265,57,410,419,403
Highline Big Picture High School,480134,21,444,436,412
Highline CHOICE Academy,480133,14,536,473,501
Highline High School,481090,207,405,424,410
Hockinson High School,480118,95,538,522,514
Hockinson Middle School,489005,0,-,-,-
HomeConnection,480808,4,-,-,-
Homelink,480597,3,-,-,-
Hoquiam High School,480475,28,502,517,463
Hudson's Bay High School,481475,83,491,470,449
Hutch School,481148,0,-,-,-
iGrad Academy,480556,4,-,-,-
Ilwaco High School,480485,28,522,527,496
Inchelium High School,480490,1,-,-,-
Inglemoor High School,480101,310,579,592,564
Ingraham High School,481112,236,550,552,530
Insight School of Washington,480129,32,511,474,496
Interagency Academy,481089,28,343,349,335
Interlake High School,480069,242,609,622,596
International Community School,480552,45,633,668,659
International School,480068,69,624,651,624
Internet Academy,480402,45,407,384,383
iQ Academy Washington,481473,5,504,442,448
Issaquah High School,480500,296,585,607,575
Jenkins High School,480190,16,564,553,518
Joel E Ferris High School,481258,375,470,471,459
John R Rogers High School,481260,312,408,414,395
John Sedgwick Junior High School,489028,0,-,-,-
Juanita High School,480543,179,547,557,522
Kahlotus High School,480510,1,-,-,-
Kalama Senior High School,480515,24,505,508,443
Kamiak High School,480758,271,555,583,540
Kamiakin High School,480524,157,520,537,490
Kelso High School,480520,95,497,476,458
Kelso Virtual Academy,480513,1,-,-,-
Kennewick High School,480525,94,458,494,432
Kent Mountain View Academy,480309,34,410,395,381
Kent Phoenix Academy,480528,82,400,390,374
Kent-Meridian High School,480535,519,404,415,395
Kentlake High School,480549,325,459,474,434
Kentridge Senior High School,480536,534,467,499,458
Kentwood Senior High School,480539,471,447,467,434
Kettle Falls High School,480540,12,504,477,445
Kingston High School,480554,80,524,517,481
Kiona-Benton High School,480085,22,465,489,440
Kittitas High School,480550,20,471,472,446
Klahowya Secondary School,481196,64,519,529,488
Klickitat High School,480560,4,-,-,-
La Center High School,480565,49,533,509,510
La Conner High School,480575,32,500,524,478
La Crosse High School,480580,2,-,-,-
Lake Quinault High School,480022,0,-,-,-
Lake Roosevelt High School,480255,22,429,456,400
Lake Stevens High School,480585,225,515,532,492
Lake Washington High School,480545,214,537,550,525
Lake Washington Technical Academy,480546,3,-,-,-
Lakes High School,480588,100,508,500,479
Lakeside High School,480798,76,506,507,479
Lakewood High School,480586,42,490,508,452
Leaders in Learning,480724,1,-,-,-
Legacy High School,480518,1,-,-,-
Legacy High School,481491,0,-,-,-
Lewis and Clark High School,481265,393,516,504,495
Lewis and Clark High School,481478,1,-,-,-
Liberty Bell Junior-Senior High School,481445,35,555,525,504
Liberty High School,480502,234,564,576,549
Liberty High School,481230,10,545,530,492
Lincoln High School,481385,266,390,402,366
Lind-Ritzville High School,481010,17,477,485,469
Lopez High School,480630,13,518,497,494
Lyle High School,480635,6,433,438,365
Lynden High School,480647,85,504,524,471
Lynnwood High School,480649,147,499,527,481
Mabton High School,480650,23,372,397,356
Mansfield High School,480655,0,-,-,-
Manson High School,480660,12,463,474,418
MAP High School,481273,2,-,-,-
Marcus Whitman Junior High School,489021,0,-,-,-
Mariner High School,480387,187,462,466,447
Mark Morris High School,480623,64,516,517,482
Mary M Knight High School,480360,0,-,-,-
Mary Walker High School,481310,17,461,476,439
Marysville Arts & Technology High School,480684,2,-,-,-
Marysville Getchell High School: Bio-Med Academy,480676,30,492,496,471
Marysville Getchell HS: Academy of Constr and Eng,480678,15,477,464,443
Marysville Getchell HS: Intl Sch of Comm,480675,38,509,495,497
Marysville Getchell HS: Sch for the Entrepreneur,480677,26,470,495,462
Marysville Mountain View High School,480674,1,-,-,-
Marysville On-Line Virtual Education program,480673,2,-,-,-
Marysville Pilchuck High School,480682,111,502,509,479
Mead Senior High School,480685,235,529,530,501
Meadowdale Senior High School,480342,182,532,529,508
Medical Lake High School,480690,48,525,528,495
Mercer Island High School,480698,165,609,635,596
Meridian High School,480080,46,511,518,473
Mid-Columbia Partnership,480517,3,-,-,-
Middle College High School,481126,5,464,504,454
Monroe High School,480725,150,502,501,482
Montesano Junior-Senior High School,480730,30,506,519,465
Morton Junior-Senior High School,480735,8,463,453,455
Moses Lake Senior High School,480740,392,450,455,426
Mossyrock High School,480745,7,503,554,459
Mount Baker Senior High School,480305,50,520,521,504
Mount Rainier High School,480538,311,451,462,440
Mount Si High School,480797,271,544,552,528
Mount Spokane High School,480687,210,528,536,494
Mount Tahoma High School,481388,354,387,393,363
Mount Vernon High School,480750,176,493,502,465
Mountain View High School,481477,197,534,539,513
Mountlake Terrace High School,480343,104,529,520,490
Naches Valley High School,480770,43,508,513,488
Napavine Junior-Senior High School,480775,11,475,514,459
Naselle-Grays River Valley High School,480780,13,446,507,417
Nathan Hale High School,481128,247,497,504,484
Neah Bay High School,480785,13,452,448,392
New Market Skills Center,481442,0,-,-,-
New Start High School,481147,2,-,-,-
Newport High School,480071,336,581,619,573
Newport High School,480795,35,512,520,488
Nikola Tesla STEM High School,480976,115,656,680,642
Nooksack Valley High School,480796,29,501,533,487
North Beach High School,480715,15,465,521,467
North Central High School,481275,259,458,457,441
North Kitsap High School,480920,139,542,535,505
North Mason High School,480063,44,508,485,461
North River High School,480120,2,-,-,-
North Thurston High School,480570,160,532,533,506
Northport High School,480800,10,454,462,400
Northshore Home School Networks,480098,3,-,-,-
Northwest Career and Technical High School,480584,4,-,-,-
Nova High School,481129,46,532,446,500
Oak Harbor High School,480810,183,533,521,499
Oakesdale High School,480805,5,532,524,496
Oakland Alternative High School,481392,47,341,330,301
Oakville High School,480815,2,-,-,-
Oasis K-12,480322,0,-,-,-
Ocosta Junior-Senior High School,481537,14,536,569,496
Odessa High School,480820,6,440,443,435
Okanogan High School,480825,37,461,467,451
Olympia High School,480835,280,579,579,553
Olympia Regional Learning Academy,480838,1,-,-,-
Olympic High School,481197,92,497,510,473
Omak Senior High School,480840,25,469,448,456
On Track Academy,481283,36,433,425,378
Onalaska High School,480845,30,467,455,426
Options High School,480088,1,-,-,-
Orcas Island High School,480320,29,590,574,532
Oroville High School,480850,10,444,416,438
Orting High School,480855,65,511,494,485
Othello High School,480860,92,433,446,420
Paideia High School,481451,1,-,-,-
Panorama School,480236,2,-,-,-
Pasco High School,480875,123,418,428,406
Pateros High School,480880,18,428,416,409
Pe Ell School,480885,4,-,-,-
Peninsula High School,480420,159,540,539,505
Phoenix High School,480519,3,-,-,-
