OBJECTID,SchoolCode,OrganizationId,High School,Label,ESDCode,ESDNum,ESDName,LEACode,LEAName,LowestGrade,HighestGrade,LowGrade_Int,HighGrade_Int,OrgCategoryList,AYPCode,AYPCodeDescription,GradeCategory,PhysicalAddress,MailingAddress,PrincipalName,Email,Phone,Latitude,Longitude,County,CongressionalDistrict,LegislativeDistrict
5091,2792,100808,Warden Elementary,,4801,171,North Central Educational Service District 171,13146,Warden School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"101 W BECK WAY, WARDEN, Washington, 98857-9401","101 W BECK WAY, WARDEN, Washington, 98857-9401",  ,,,46.9613358120001,-119.041048848,Grant,4,13
5092,4360,102066,Hunt Elementary,,17801,121,Puget Sound Educational Service District 121,27003,Puyallup School District,PK,6,-1,6," Public School, Regular School",P,Public School,Elementary School,"12801 144th St E, Puyallup, Washington, 98374-3548","12801 144th St E, Puyallup, Washington, 98374-3548",Derrick  Pete,petedl@puyallup.k12.wa.us,253.840.8690,47.1263270000001,-122.257737,Pierce,8,25
5093,2326,101413,Washington Elementary School,,17801,121,Puget Sound Educational Service District 121,17408,Auburn School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"20 E ST NE, AUBURN, Washington, 98002-5501","20 E ST NE, AUBURN, Washington, 98002-5501",Gelinda  Williams,gwilliams@auburn.wednet.edu,253.931.4988,47.3082430000001,-122.222304,King,8,31
5094,2768,101873,Washington Elementary School,,34801,113,Capital Region ESD 113,21401,Centralia School District,K,6,0,6," Public School, Regular School",P,Public School,Elementary School,"800 Field Street, Centralia, Washington, 98531-3824","800 Field Street, Centralia, Washington, 98531-3824",Danielle  Vekich,dvekich@centralia.wednet.edu,360.300.7641,46.7085450000001,-122.953673999,Lewis,3,20
5095,3144,100365,Washington Elementary School,,11801,123,Educational Service District 123,3017,Kennewick School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"105 WEST 21ST AVENUE, KENNEWICK, Washington, 99337-4999","105 WEST 21ST AVENUE, KENNEWICK, Washington, 99337-4999",Kim  Limbeck,kim.limbeck@ksd.org,509.222.6668,46.1885970000001,-119.118975,Benton,4,8
5096,2880,102407,Washington Elementary School,,29801,189,Northwest Educational Service District 189,29320,Mount Vernon School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"1020 McLean Rd, Mount Vernon, Washington, 98273-3264","1020 McLean Rd, Mount Vernon, Washington, 98273-3264",Stephanie  Jones-Flores,sflores@mvsd320.org,360.428.6122,48.4200710000001,-122.348702,Skagit,1,40
5097,2717,103239,Washington Elementary,,39801,105,Educational Service District 105,39201,Sunnyside School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"800 E. Jackson Avenue, Sunnyside, Washington, 98944-2197","1110 S. 6th Street, Sunnyside, Washington, 98944-2197",Gwyn  Trull,gwyn.trull@sunnysideschools.org,509.837.3641,46.318722,-120.010565,Yakima,4,15
5098,2083,102100,Washington Elementary School,,17801,121,Puget Sound Educational Service District 121,27010,Tacoma School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"6501 S 10th St, Tacoma, Washington, 98407-0000","6501 S 10th St, Tacoma, Washington, 98407-0000",Ed  Schau,eschau@tacoma.k12.wa.us,253.571.7272,47.2714710000001,-122.486672,Pierce,6,27
5099,3565,100544,Washington Elementary,,6801,112,Educational Service District 112,6037,Vancouver School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"2908 S ST, VANCOUVER, Washington, 98663-2932","2908 S ST, VANCOUVER, Washington, 98663-2932",Stoney  Myers,Stoney.Myers@vansd.org,360.313.3050,45.6438880000001,-122.652524,Clark,3,49
5100,2907,100463,Washington Elementary School,,4801,171,North Central Educational Service District 171,4246,Wenatchee School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"1401 WASHINGTON ST., WENATCHEE, Washington, 98801-0000","1401 WASHINGTON ST., WENATCHEE, Washington, 98801-0000",Janell  Royster,royster.janell@wenatcheeschools.org,509.662.5504,47.422425929,-120.336474418,Chelan,8,12
5101,3648,102279,Washington High School,,17801,121,Puget Sound Educational Service District 121,27402,Franklin Pierce School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"12420 Ainsworth Ave S, Tacoma, Washington, 98444-2398","12420 Ainsworth Ave S, Tacoma, Washington, 98444-2398",Brent  Whitemarsh,bwhitemarsh@fpschools.org,253.298.3000,47.1440930000001,-122.455481,Pierce,10,29
5102,3711,102974,Washington Middle School,,34801,113,Capital Region ESD 113,34111,Olympia School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"3100 CAIN RD SE, OLYMPIA, Washington, 98501-3899","3100 CAIN RD SE, OLYMPIA, Washington, 98501-3899",Paul A Anders,panders@osd.wednet.edu,360.596.3000,47.020898,-122.86851,Thurston,10,22
5103,4064,101167,Washington Middle School,,17801,121,Puget Sound Educational Service District 121,17001,Seattle Public Schools,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"2101 S JACKSON ST, SEATTLE, Washington, 98144-2226","2101 S JACKSON ST, SEATTLE, Washington, 98144-2226",Katrina  Hunt,kmhunt@seattleschools.org,206.252.2605,47.5981580000001,-122.303851,King,9,37
5104,2314,103179,Washington Middle School,,39801,105,Educational Service District 105,39007,Yakima School District,6,8,6,8," Public School, Regular School",P,Public School,Middle School,"510 S 9th St, Yakima, Washington, 98901-4617","510 S 9th St, Yakima, Washington, 98901-4617",William  Hilton,Hilton.William@ysd7.org,509.573.2301,46.5980700000001,-120.491367,Yakima,4,14
5105,3147,100581,Washougal High School,,6801,112,Educational Service District 112,6112,Washougal School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"1201 39th St, Washougal, Washington, 98671-9112","1201 39th St, Washougal, Washington, 98671-9112",Sheree Ann Clark,sheree.clark@washougalsd.org,360.954.3100,45.5849600000001,-122.327839,Clark,3,18
5106,3075,100326,Washtucna Elementary/High School,,32801,101,Educational Service District 101,1109,Washtucna School District,PK,12,-1,12," Public School, Regular School",P,Public School,PK-12,"730 East Booth Avenue, Washtucna, Washington, 99371-0688","730 East Booth Avenue, Washtucna, Washington, 99371-0688",Vance  Wing,vwing@tucna.wednet.edu,509.646.3211,46.752682,-118.310063,Adams,4,9
5107,2161,100740,Waterville Elementary,,4801,171,North Central Educational Service District 171,9209,Waterville School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"200 E Birch St, Waterville, Washington, 98858-0490","PO Box 490, Waterville, Washington, 98858-0490",Tayn  Kendrick,tkendrick@waterville.wednet.edu,509.745.8585,47.6450780000001,-120.069602,Douglas,4,12
